<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
11.09.2018;104910;104910;104900;104900
11.09.2018;104890;105090;104890;105090
11.09.2018;105080;105080;105080;105080
11.09.2018;105070;105130;105070;105130
11.09.2018;105110;105150;105110;105150
11.09.2018;105100;105100;105100;105100
11.09.2018;105100;105110;105100;105100
11.09.2018;105150;105190;105150;105190
11.09.2018;105200;105200;105180;105180
11.09.2018;105180;105180;105180;105180
11.09.2018;105180;105200;105180;105200
11.10.2018;112130;112230;111340;111370
11.10.2018;111370;111570;111300;111540
11.10.2018;111540;111550;111380;111450
11.10.2018;111460;111480;111320;111390
11.10.2018;111390;111460;111300;111310
11.10.2018;111310;111490;111280;111480
11.10.2018;111480;111840;111460;111750
11.10.2018;111740;111820;111680;111790
11.10.2018;111780;112210;111780;112180
11.10.2018;112190;112270;112100;112150
11.10.2018;112150;112180;111900;111910
11.10.2018;111910;111940;111770;111910
11.10.2018;111920;111940;111790;111860
11.10.2018;111850;111980;111830;111940
11.10.2018;111920;111970;111870;111940
11.10.2018;111950;111950;111830;111860
11.10.2018;111850;111950;111840;111880
11.10.2018;111890;111990;111880;111980
11.10.2018;111990;112130;111960;112110
11.10.2018;112110;112190;112060;112110
11.10.2018;112120;112230;112090;112220
11.10.2018;112230;112380;112180;112350
11.10.2018;112360;112440;112340;112350
11.10.2018;112340;112430;112340;112360
11.10.2018;112350;112480;112350;112430
11.10.2018;112440;112470;112350;112380
11.10.2018;112380;112470;112380;112450
11.10.2018;112460;112580;112430;112480
11.10.2018;112470;112510;112450;112480
11.10.2018;112480;112530;112420;112450
11.10.2018;112450;112500;112360;112380
11.10.2018;112390;112410;112350;112370
11.10.2018;112360;112410;112350;112390
11.10.2018;112370;112490;112370;112470
11.10.2018;112470;112500;112410;112420
11.10.2018;112420;112500;112380;112450
11.10.2018;112470;112490;112370;112390
11.10.2018;112400;112470;112360;112430
11.10.2018;112420;112420;112350;112360
11.10.2018;112360;112370;112240;112260
11.10.2018;112260;112300;112240;112250
11.10.2018;112240;112250;112120;112120
11.10.2018;112140;112240;112120;112200
11.10.2018;112190;112210;112130;112180
11.10.2018;112180;112230;112150;112220
11.10.2018;112220;112300;112150;112150
11.10.2018;112170;112280;112170;112170
11.10.2018;112160;112170;112010;112090
11.10.2018;112090;112170;112060;112070
11.10.2018;112060;112110;111950;111980
11.10.2018;111980;111980;111810;111850
11.10.2018;111840;111890;111800;111890
11.10.2018;111890;111910;111840;111860
11.10.2018;111850;111890;111800;111800
11.10.2018;111810;111870;111770;111770
11.10.2018;111770;111830;111730;111790
11.10.2018;111800;111800;111710;111800
11.10.2018;111790;111860;111750;111760
11.10.2018;111770;111770;111670;111690
11.10.2018;111700;111700;111620;111700
11.10.2018;111710;111790;111660;111780
11.10.2018;111770;111800;111700;111750
11.10.2018;111730;111970;111720;111940
11.10.2018;111940;111950;111850;111860
11.10.2018;111850;111910;111830;111880
11.10.2018;111860;111880;111710;111750
11.10.2018;111760;111810;111740;111770
11.10.2018;111790;111920;111790;111850
11.10.2018;111840;111850;111740;111810
11.10.2018;111800;111890;111780;111880
11.10.2018;111860;111900;111770;111800
11.10.2018;111820;111890;111790;111860
11.10.2018;111860;111910;111830;111910
11.10.2018;111910;111950;111860;111870
11.10.2018;111860;111950;111810;111900
11.10.2018;111910;111940;111850;111930
11.10.2018;111930;111940;111870;111900
11.10.2018;111890;111890;111790;111830
11.10.2018;111840;111840;111710;111760
11.10.2018;111780;111850;111740;111820
11.10.2018;111810;111880;111770;111860
11.10.2018;111860;111940;111860;111940
11.10.2018;111940;112070;111920;112060
11.10.2018;112070;112100;112030;112050
11.10.2018;112050;112050;111910;111920
11.10.2018;111920;111930;111770;111790
11.10.2018;111770;111810;111730;111740
11.10.2018;111740;111810;111660;111790
11.10.2018;111780;111870;111750;111850
11.10.2018;111850;111860;111720;111770
11.10.2018;111760;111820;111710;111820
11.10.2018;111810;111820;111660;111800
11.10.2018;111800;111810;111760;111800
11.10.2018;111800;111800;111670;111710
11.10.2018;111700;111740;111600;111620
11.10.2018;111620;111680;111560;111650
11.10.2018;111650;111670;111560;111600
11.10.2018;111580;111650;111560;111600
11.10.2018;111590;111650;111580;111630
11.10.2018;111630;111690;111620;111670
11.10.2018;111670;111700;111600;111610
11.10.2018;111610;111620;111510;111560
11.10.2018;111550;111640;111500;111640
11.10.2018;111640;111650;111580;111620
11.10.2018;111620;111640;111550;111580
11.10.2018;111580;111630;111540;111610
11.10.2018;111620;111690;111600;111680
11.10.2018;111670;111700;111630;111640
11.10.2018;111630;111630;111450;111450
11.10.2018;111470;111520;111450;111450
11.10.2018;111440;111510;111440;111500
11.10.2018;111500;111550;111440;111450
11.10.2018;111450;111450;111370;111400
11.10.2018;111400;111420;111210;111240
11.10.2018;111250;111330;111200;111260
11.10.2018;111250;111330;111220;111330
11.10.2018;111330;111340;111220;111270
11.10.2018;111270;111350;111220;111310
11.10.2018;111300;111320;111250;111280
11.10.2018;111290;111340;111240;111250
11.10.2018;111250;111250;111130;111170
11.10.2018;111180;111340;111170;111270
11.10.2018;111280;111300;111240;111300
11.10.2018;111300;111320;111270;111300
11.10.2018;111300;111410;111290;111390
11.10.2018;111390;111400;111280;111300
11.10.2018;111310;111370;111290;111290
11.10.2018;111290;111300;111220;111250
11.10.2018;111250;111260;111150;111160
11.10.2018;111150;111170;111060;111070
11.10.2018;111060;111140;111000;111140
11.10.2018;111140;111480;111120;111420
11.10.2018;111430;111440;111310;111320
11.10.2018;111330;111420;111290;111420
11.10.2018;111410;111480;111410;111460
11.10.2018;111440;111460;111300;111340
11.10.2018;111330;111350;111260;111320
11.10.2018;111320;111460;111320;111410
11.10.2018;111420;111450;111360;111360
11.10.2018;111360;111380;111300;111340
11.10.2018;111350;111390;111330;111390
11.10.2018;111380;111430;111350;111420
11.10.2018;111420;111440;111300;111300
11.10.2018;111310;111350;111310;111340
11.10.2018;111330;111420;111300;111370
11.10.2018;111370;111390;111330;111340
11.10.2018;111330;111360;111270;111280
11.10.2018;111290;111300;111270;111290
11.10.2018;111280;111300;111180;111260
11.10.2018;111270;111360;111250;111350
11.10.2018;111330;111340;111250;111300
11.10.2018;111290;111290;111210;111240
11.10.2018;111250;111390;111220;111390
11.10.2018;111390;111390;111310;111320
11.10.2018;111330;111350;111300;111320
11.10.2018;111310;111340;111280;111300
11.10.2018;111310;111330;111260;111290
11.10.2018;111290;111290;111220;111270
11.10.2018;111250;111370;111250;111360
11.10.2018;111360;111420;111320;111320
11.10.2018;111330;111350;111310;111340
11.10.2018;111340;111350;111110;111190
11.10.2018;111190;111260;111150;111230
11.10.2018;111230;111240;111180;111240
11.10.2018;111240;111240;111150;111180
11.10.2018;111180;111310;111180;111270
11.10.2018;111280;111360;111270;111330
11.10.2018;111320;111360;111300;111330
11.10.2018;111320;111340;111270;111330
11.10.2018;111340;111340;111270;111290
11.10.2018;111280;111390;111270;111380
11.10.2018;111380;111420;111340;111360
11.10.2018;111360;111410;111350;111390
11.10.2018;111400;111600;111400;111520
11.10.2018;111520;111590;111520;111560
